<<<<<<< HEAD
DiedBecause,PlayTime,KillSpider,KillSlime,P1SpiderShooted,P1SpiderHit,P1SlimeHit,P1BubbleTimes,P2SpiderShooted,P2SpiderHit,P2SlimeHit,P2BubbleTimes
Distance,3 : 55,19,0,36,14,0,0,46,21,0,0
Distance,3 : 55,19,0,36,14,0,0,46,21,0,0
Distance,3 : 5,22,0,26,6,0,0,35,12,0,0
SpiderShoot,3 : 31,11,0,8,4,0,4,10,4,0,0
SpiderShoot,3 : 57,4,0,46,6,0,0,20,4,0,0
Distance,3 : 49,14,0,25,4,0,7,22,4,0,0
SpiderHit,0 : 15,0,0,2,2,0,0,5,1,0,0
SpiderShoot,0 : 26,0,0,7,0,0,0,4,0,0,0
SpiderShoot,0 : 13,2,0,2,1,0,0,4,0,0,0
Distance,0 : 49,4,0,7,3,0,0,5,0,0,0
SpiderHit,0 : 35,1,0,4,0,0,0,7,1,0,0
SpiderHit,0 : 23,0,0,5,1,0,0,3,0,0,0
Distance,0 : 29,0,0,3,0,0,2,4,0,0,0
Distance,0 : 23,1,0,5,3,0,0,2,2,0,0
SpiderShoot,0 : 58,6,0,0,1,0,0,6,3,0,0
Distance,0 : 25,4,0,5,1,0,0,3,1,0,0
SpiderHit,0 : 13,0,0,2,2,0,0,0,0,0,0
SpiderShoot,2 : 23,13,0,15,4,0,0,22,4,0,1
Distance,2 : 57,10,0,28,11,0,0,30,6,0,0
SpiderShoot,0 : 31,2,0,3,1,0,2,8,1,0,0
Distance,1 : 51,9,0,7,4,0,1,6,6,0,7
SpiderShoot,0 : 16,0,0,3,1,0,0,3,0,0,0
SpiderShoot,0 : 24,1,0,0,0,0,0,8,0,0,0
SpiderShoot,0 : 25,1,0,6,0,0,0,1,2,0,0
SpiderShoot,1 : 15,1,0,12,2,0,2,18,1,0,0
Distance,1 : 26,6,0,4,1,0,0,7,1,0,0
=======
DiedBecause,PlayTime,KillSpider,KillSlime,P1SpiderShooted,P1SpiderHit,P1SlimeHit,P1BubbleTimes,P2SpiderShooted,P2SpiderHit,P2SlimeHit,P2BubbleTimes
Distance,3 : 55,19,0,36,14,0,0,46,21,0,0
Distance,3 : 5,22,0,26,6,0,0,35,12,0,0
SpiderShoot,3 : 31,11,0,8,4,0,4,10,4,0,0
SpiderShoot,3 : 57,4,0,46,6,0,0,20,4,0,0
Distance,3 : 49,14,0,25,4,0,7,22,4,0,0
SpiderHit,0 : 47,2,0,5,3,0,0,10,4,0,0
SpiderShoot,1 : 14,2,0,10,3,0,5,2,0,0,0
SpiderShoot,1 : 16,1,0,14,2,0,0,13,3,0,0
SpiderHit,1 : 20,4,0,8,1,0,0,17,2,0,0
SpiderHit,0 : 13,0,0,0,1,0,0,0,0,0,0
Distance,0 : 9,0,0,0,1,0,0,0,0,0,0
Distance,0 : 1,0,0,0,0,0,0,0,0,0,0
Distance,0 : 1,0,0,0,0,0,0,0,0,0,0
Distance,0 : 15,0,0,0,0,0,0,0,0,0,0
Distance,0 : 7,0,0,0,0,0,0,0,0,0,0
Distance,0 : 5,0,0,0,0,0,0,0,0,0,0
Distance,0 : 6,0,0,0,0,0,0,0,0,0,0
Distance,0 : 17,0,0,0,0,0,0,0,0,0,0
Distance,0 : 10,0,0,0,0,0,0,0,0,0,0
Distance,0 : 18,0,0,0,0,0,0,0,0,0,0
Distance,0 : 29,0,0,0,0,0,0,0,0,0,0
Distance,0 : 17,0,0,0,0,0,0,0,0,0,0
Distance,2 : 28,0,0,0,0,0,0,0,0,0,0
Distance,1 : 24,0,0,0,0,0,0,0,0,0,0
Distance,0 : 15,0,0,0,0,0,0,0,0,0,0
Distance,0 : 26,0,0,0,0,0,0,0,0,0,0
Distance,1 : 46,0,0,0,0,0,0,0,0,0,0
Distance,0 : 42,0,0,0,0,0,0,0,0,0,0
Distance,0 : 26,0,0,0,0,0,0,0,0,0,0
>>>>>>> master

SpiderShoot,2 : 36,2,0,4,0,0,0,1,0,0,0
SpiderHit,1 : 10,4,0,7,3,0,0,0,0,0,1
Distance,1 : 22,7,0,6,2,0,0,7,4,0,0
Distance,0 : 55,5,0,0,1,0,0,1,0,0,0
SpiderShoot,1 : 5,8,0,1,1,0,0,3,1,0,0
SpiderShoot,0 : 52,5,0,7,2,0,0,5,3,0,0
SpiderHit,1 : 19,12,0,3,3,0,0,5,2,0,0
SpiderHit,0 : 35,2,0,0,1,0,0,2,1,0,0
Distance,2 : 7,10,0,0,2,0,0,6,4,0,0
Distance,2 : 40,4,0,4,3,0,0,5,3,0,0
SpiderShoot,1 : 4,0,0,4,2,0,0,15,1,0,0
SpiderHit,2 : 11,7,0,18,9,0,0,17,2,0,0
Distance,0 : 44,4,0,1,0,0,0,1,1,0,0
SpiderShoot,0 : 46,0,0,3,0,0,0,12,0,0,0
SpiderHit,0 : 18,3,0,3,1,0,0,0,3,0,0
SpiderHit,0 : 30,5,0,2,2,0,0,0,0,0,0
SpiderShoot,1 : 57,9,0,12,1,0,1,10,6,0,0
Distance,1 : 47,10,0,5,8,0,0,7,7,0,0
SpiderHit,0 : 38,1,0,9,2,0,0,3,1,0,0
SpiderHit,1 : 24,7,0,15,5,0,0,12,1,0,0
Distance,3 : 48,8,0,7,2,0,0,5,4,0,0
SpiderShoot,1 : 7,1,0,12,5,0,0,9,2,0,0
SpiderHit,0 : 53,4,0,4,4,0,0,1,2,0,0
SpiderHit,0 : 30,0,0,7,2,0,0,1,2,0,0
SpiderHit,1 : 15,5,0,13,4,0,1,2,3,0,0
SpiderShoot,0 : 55,4,0,5,4,0,0,6,0,0,0
SpiderShoot,1 : 17,3,0,4,3,0,0,5,3,0,4
SpiderHit,0 : 26,2,0,1,3,0,0,1,2,0,0
SpiderHit,2 : 6,7,0,13,9,0,0,4,7,0,0
SpiderHit,2 : 45,11,0,4,0,0,0,11,3,0,0
Distance,1 : 21,5,0,5,1,0,0,2,1,0,0
SpiderHit,0 : 39,0,0,1,2,0,0,4,1,0,0
SpiderShoot,1 : 0,10,0,6,3,0,0,3,1,0,0
Distance,0 : 42,2,0,2,2,0,0,0,1,0,0
Distance,2 : 44,12,0,3,1,0,0,13,0,0,0
>>>>>>> 地圖寬度測試
<<<<<<< HEAD

Distance,0 : 1,0,0,0,0,0,0,0,0,0,0
Distance,0 : 7,0,0,0,0,0,0,0,0,0,0
Distance,0 : 10,0,0,0,0,0,0,0,0,0,1
Distance,0 : 10,1,0,0,0,0,0,0,0,0,0
Distance,0 : 23,0,0,0,0,0,0,0,0,0,0
Distance,0 : 17,0,0,0,0,0,0,0,0,0,0
Distance,0 : 12,0,0,0,0,0,0,0,0,0,0
Distance,0 : 24,0,0,0,0,0,0,0,0,0,0
Distance,1 : 0,0,0,0,0,0,0,0,0,0,0
Distance,0 : 21,0,0,0,0,0,0,0,0,0,0
Distance,0 : 32,0,0,0,0,0,0,0,0,0,0
Distance,0 : 27,1,0,0,0,0,0,0,0,0,0
Distance,0 : 30,3,0,0,0,0,0,0,0,0,0
Distance,0 : 41,0,0,0,0,0,0,0,0,0,1
Distance,0 : 49,2,0,0,0,0,0,0,0,0,0
Distance,0 : 6,0,0,0,0,0,0,0,0,0,0
Distance,0 : 10,0,0,0,0,0,0,0,0,0,0
Distance,0 : 27,2,0,0,0,0,0,0,0,0,2
Distance,0 : 7,0,0,0,0,0,0,0,0,0,0
Distance,0 : 56,3,0,0,0,0,1,0,0,0,1
Distance,0 : 28,0,0,0,0,0,0,0,0,0,0
Distance,1 : 56,4,0,0,0,0,0,0,0,0,0
Distance,2 : 1,2,0,0,0,0,9,0,0,0,3
Distance,0 : 26,0,0,0,0,0,4,0,0,0,3
Distance,0 : 32,0,0,0,0,0,3,0,0,0,1
Distance,0 : 50,7,0,0,0,0,0,0,0,0,0
Distance,1 : 28,10,0,0,0,0,0,0,0,0,0
Distance,1 : 16,11,0,0,0,0,0,0,0,0,0
Distance,4 : 0,51,0,0,0,0,0,0,0,0,0
Distance,0 : 6,0,0,0,0,0,0,0,0,0,0
Distance,0 : 31,0,0,0,0,0,0,0,0,0,0
Distance,1 : 20,0,0,0,0,0,0,0,0,0,0
Distance,1 : 21,6,0,0,0,0,0,0,0,0,0
Distance,3 : 22,17,0,0,0,0,0,0,0,0,0
Distance,0 : 25,0,0,0,0,0,0,0,0,0,0
Distance,0 : 59,2,0,0,0,0,0,0,0,0,0
Distance,0 : 1,0,0,0,0,0,0,0,0,0,0
Distance,0 : 1,0,0,0,0,0,0,0,0,0,0
Distance,0 : 33,0,0,0,0,0,0,0,0,0,0
Distance,0 : 13,0,0,0,0,0,0,0,0,0,0
Distance,0 : 28,0,0,0,0,0,0,0,0,0,0
Distance,2 : 27,15,0,12,6,0,1,7,3,0,0
Distance,0 : 41,1,0,6,1,0,0,8,2,0,0
SpiderHit,0 : 39,4,0,1,0,0,0,7,4,0,0
Distance,0 : 29,0,0,0,0,0,0,0,0,0,0
Distance,0 : 35,0,0,0,0,0,1,0,0,0,1
Distance,3 : 31,22,0,4,3,0,0,12,5,0,1
Distance,1 : 29,11,0,7,2,0,0,10,2,0,0
Distance,2 : 51,27,0,10,10,0,3,14,9,0,0
Distance,0 : 29,0,0,1,0,0,0,1,0,0,0
Distance,4 : 35,22,0,11,2,0,2,17,7,0,0
SpiderShoot,0 : 58,2,0,7,4,0,0,9,1,0,1
SpiderShoot,0 : 29,4,0,12,3,0,0,0,0,0,0
SpiderShoot,1 : 6,14,0,4,5,0,0,6,5,0,0
Distance,6 : 58,42,0,23,12,0,0,24,14,0,1
SpiderShoot,3 : 46,28,0,14,8,0,1,30,12,0,2
SpiderShoot,4 : 51,2,0,2,0,0,0,9,0,0,0
Distance,1 : 5,2,0,1,0,0,0,2,1,0,0
SpiderShoot,1 : 52,16,0,21,7,0,0,7,0,0,0
Distance,3 : 29,3,0,0,0,0,0,5,2,0,0
Distance,1 : 11,0,0,0,0,0,0,0,0,0,0
Distance,2 : 10,14,0,5,0,0,1,13,4,0,0
Distance,1 : 50,14,0,9,1,0,0,21,7,0,0
SpiderHit,1 : 17,10,0,2,2,0,0,17,11,0,0
Distance,5 : 4,10,0,14,2,0,0,9,4,0,0
Distance,1 : 34,3,0,4,0,0,0,5,2,0,1
Distance,3 : 33,6,0,7,1,0,0,8,4,0,0
Distance,0 : 45,5,0,5,2,0,0,2,0,0,0
Distance,2 : 4,2,0,0,0,0,0,1,0,0,0
Distance,1 : 20,7,0,8,5,0,0,5,1,0,0
Distance,0 : 54,11,0,2,7,0,0,0,1,0,0
Distance,2 : 28,2,0,0,1,0,0,1,2,0,0
Distance,3 : 12,6,0,3,1,0,0,6,1,0,0
Distance,5 : 1,9,0,3,2,0,0,5,3,0,0
Distance,0 : 49,0,0,0,0,0,0,0,0,0,0
Distance,0 : 3,0,0,0,0,0,0,0,0,0,0
Distance,1 : 35,0,0,3,1,0,1,4,0,0,0
Distance,1 : 17,2,0,8,0,0,0,0,0,0,0
Distance,0 : 14,3,0,5,2,0,0,1,1,0,0
Distance,1 : 36,24,0,15,5,0,0,26,3,0,0
SpiderShoot,1 : 18,25,0,24,12,0,0,12,8,0,0
Distance,0 : 11,0,0,0,1,0,0,0,0,0,0
Distance,0 : 38,5,0,7,2,0,0,12,1,0,0
Distance,0 : 54,12,0,18,4,0,0,18,6,0,0
Distance,1 : 6,20,0,12,8,0,0,11,10,0,0
Distance,0 : 42,13,0,1,5,0,0,10,5,0,0
Distance,1 : 46,38,0,30,17,0,0,22,19,0,0
Distance,1 : 31,30,0,15,10,0,0,13,9,0,0
Distance,0 : 53,17,0,8,5,0,0,3,10,0,0
Distance,1 : 17,17,0,17,6,0,0,20,10,0,0
Distance,1 : 16,21,0,17,7,0,0,14,8,0,0
SpiderShoot,1 : 25,19,0,19,13,0,0,21,13,0,0
Distance,2 : 3,39,0,18,11,0,0,23,10,0,0
SpiderHit,0 : 55,10,0,13,7,0,0,11,3,0,0
Distance,2 : 9,36,0,28,12,0,0,23,10,0,0
SpiderShoot,0 : 41,10,0,8,1,0,0,12,2,0,0
SpiderHit,0 : 50,12,0,9,3,0,0,10,6,0,0
SpiderHit,0 : 50,13,0,6,5,0,0,12,3,0,0
Distance,0 : 49,16,0,7,5,0,0,7,4,0,0
Distance,1 : 13,13,0,8,1,0,0,12,4,0,0
SpiderShoot,0 : 43,12,0,5,4,0,0,6,5,0,0
SpiderShoot,1 : 57,21,0,17,2,0,0,21,7,0,0
Distance,1 : 38,21,0,14,12,0,0,17,7,0,0
Distance,0 : 48,12,0,8,8,0,0,12,4,0,0
SpiderShoot,0 : 45,11,0,6,8,0,0,8,3,0,0
Distance,0 : 56,16,0,7,3,0,0,10,6,0,0
Distance,0 : 42,9,0,5,2,0,0,11,4,0,0
=======

Distance,0 : 1,0,0,0,0,0,0,0,0,0,0
Distance,0 : 7,0,0,0,0,0,0,0,0,0,0
Distance,0 : 10,0,0,0,0,0,0,0,0,0,1
Distance,0 : 10,1,0,0,0,0,0,0,0,0,0
Distance,0 : 23,0,0,0,0,0,0,0,0,0,0
Distance,0 : 17,0,0,0,0,0,0,0,0,0,0
Distance,0 : 12,0,0,0,0,0,0,0,0,0,0
Distance,0 : 24,0,0,0,0,0,0,0,0,0,0
Distance,1 : 0,0,0,0,0,0,0,0,0,0,0
Distance,0 : 21,0,0,0,0,0,0,0,0,0,0
Distance,0 : 32,0,0,0,0,0,0,0,0,0,0
Distance,0 : 27,1,0,0,0,0,0,0,0,0,0
Distance,0 : 30,3,0,0,0,0,0,0,0,0,0
Distance,0 : 41,0,0,0,0,0,0,0,0,0,1
Distance,0 : 49,2,0,0,0,0,0,0,0,0,0
Distance,0 : 6,0,0,0,0,0,0,0,0,0,0
Distance,0 : 10,0,0,0,0,0,0,0,0,0,0
Distance,0 : 27,2,0,0,0,0,0,0,0,0,2
Distance,0 : 7,0,0,0,0,0,0,0,0,0,0
Distance,0 : 56,3,0,0,0,0,1,0,0,0,1
Distance,0 : 28,0,0,0,0,0,0,0,0,0,0
Distance,1 : 56,4,0,0,0,0,0,0,0,0,0
Distance,2 : 1,2,0,0,0,0,9,0,0,0,3
Distance,0 : 26,0,0,0,0,0,4,0,0,0,3
Distance,0 : 32,0,0,0,0,0,3,0,0,0,1
Distance,0 : 50,7,0,0,0,0,0,0,0,0,0
Distance,1 : 28,10,0,0,0,0,0,0,0,0,0
Distance,1 : 16,11,0,0,0,0,0,0,0,0,0
Distance,4 : 0,51,0,0,0,0,0,0,0,0,0
Distance,0 : 6,0,0,0,0,0,0,0,0,0,0
Distance,0 : 31,0,0,0,0,0,0,0,0,0,0
Distance,1 : 20,0,0,0,0,0,0,0,0,0,0
Distance,1 : 21,6,0,0,0,0,0,0,0,0,0
Distance,3 : 22,17,0,0,0,0,0,0,0,0,0
Distance,0 : 25,0,0,0,0,0,0,0,0,0,0
Distance,0 : 59,2,0,0,0,0,0,0,0,0,0
Distance,0 : 1,0,0,0,0,0,0,0,0,0,0
Distance,0 : 1,0,0,0,0,0,0,0,0,0,0
Distance,0 : 33,0,0,0,0,0,0,0,0,0,0
Distance,0 : 13,0,0,0,0,0,0,0,0,0,0
Distance,0 : 28,0,0,0,0,0,0,0,0,0,0
Distance,2 : 27,15,0,12,6,0,1,7,3,0,0
Distance,0 : 41,1,0,6,1,0,0,8,2,0,0
SpiderHit,0 : 39,4,0,1,0,0,0,7,4,0,0
Distance,0 : 29,0,0,0,0,0,0,0,0,0,0
Distance,0 : 35,0,0,0,0,0,1,0,0,0,1
Distance,3 : 31,22,0,4,3,0,0,12,5,0,1
Distance,1 : 29,11,0,7,2,0,0,10,2,0,0
Distance,2 : 51,27,0,10,10,0,3,14,9,0,0
Distance,0 : 29,0,0,1,0,0,0,1,0,0,0
Distance,4 : 35,22,0,11,2,0,2,17,7,0,0
SpiderShoot,0 : 58,2,0,7,4,0,0,9,1,0,1
SpiderShoot,0 : 29,4,0,12,3,0,0,0,0,0,0
SpiderShoot,1 : 6,14,0,4,5,0,0,6,5,0,0
Distance,6 : 58,42,0,23,12,0,0,24,14,0,1
SpiderShoot,3 : 46,28,0,14,8,0,1,30,12,0,2
SpiderShoot,4 : 51,2,0,2,0,0,0,9,0,0,0
Distance,1 : 5,2,0,1,0,0,0,2,1,0,0
SpiderShoot,1 : 52,16,0,21,7,0,0,7,0,0,0
Distance,3 : 29,3,0,0,0,0,0,5,2,0,0
Distance,1 : 11,0,0,0,0,0,0,0,0,0,0
Distance,2 : 10,14,0,5,0,0,1,13,4,0,0
Distance,1 : 50,14,0,9,1,0,0,21,7,0,0
SpiderHit,1 : 17,10,0,2,2,0,0,17,11,0,0
Distance,5 : 4,10,0,14,2,0,0,9,4,0,0
Distance,1 : 34,3,0,4,0,0,0,5,2,0,1
Distance,3 : 33,6,0,7,1,0,0,8,4,0,0
Distance,0 : 45,5,0,5,2,0,0,2,0,0,0
Distance,2 : 4,2,0,0,0,0,0,1,0,0,0
Distance,1 : 20,7,0,8,5,0,0,5,1,0,0
Distance,0 : 54,11,0,2,7,0,0,0,1,0,0
Distance,2 : 28,2,0,0,1,0,0,1,2,0,0
Distance,3 : 12,6,0,3,1,0,0,6,1,0,0
Distance,5 : 1,9,0,3,2,0,0,5,3,0,0
Distance,0 : 49,0,0,0,0,0,0,0,0,0,0
Distance,0 : 3,0,0,0,0,0,0,0,0,0,0
Distance,1 : 35,0,0,3,1,0,1,4,0,0,0
Distance,1 : 17,2,0,8,0,0,0,0,0,0,0
Distance,0 : 14,3,0,5,2,0,0,1,1,0,0
Distance,1 : 36,24,0,15,5,0,0,26,3,0,0
SpiderShoot,1 : 18,25,0,24,12,0,0,12,8,0,0
Distance,0 : 11,0,0,0,1,0,0,0,0,0,0
Distance,0 : 38,5,0,7,2,0,0,12,1,0,0
Distance,0 : 54,12,0,18,4,0,0,18,6,0,0
Distance,1 : 6,20,0,12,8,0,0,11,10,0,0
Distance,0 : 42,13,0,1,5,0,0,10,5,0,0
Distance,0 : 22,1,0,0,0,0,0,0,0,0,0
SpiderHit,1 : 38,9,0,22,4,0,0,43,3,2,1
SpiderHit,0 : 56,3,0,25,3,0,0,14,6,0,0
SpiderHit,0 : 51,6,0,5,5,0,0,8,2,0,0
SpiderShoot,0 : 37,3,0,12,3,1,0,4,1,1,2
SpiderHit,1 : 38,10,0,23,3,2,0,15,6,0,0
>>>>>>> origin/master

Distance,0 : 4,0,0,0,0,0,0,0,0,0,0
Distance,0 : 15,0,0,0,0,0,0,0,0,0,0
Distance,1 : 1,0,0,0,0,0,0,0,0,0,0
Distance,1 : 8,0,0,0,0,0,0,0,0,0,0
Distance,1 : 28,0,0,0,0,0,0,0,0,0,0
Distance,1 : 16,0,0,0,0,0,0,0,0,0,0
Distance,0 : 20,0,0,0,0,0,0,0,0,0,0
Distance,0 : 22,0,0,0,0,0,0,0,0,0,0
Distance,2 : 24,0,0,0,0,0,0,0,0,0,0
Distance,0 : 33,0,0,0,0,0,0,0,0,0,0
Distance,0 : 44,0,0,0,0,0,0,0,0,0,0
Distance,0 : 47,0,0,0,0,0,0,0,0,0,0
Distance,0 : 36,0,0,0,0,0,0,0,0,0,0
Distance,1 : 8,0,0,0,0,0,0,0,0,0,0
Distance,0 : 41,0,0,0,0,0,0,0,0,0,0
Distance,0 : 16,0,0,0,0,0,0,0,0,0,0
Distance,0 : 26,0,0,0,0,0,0,0,0,0,0
Distance,0 : 18,0,0,0,0,0,0,0,0,0,0
Distance,0 : 20,0,0,0,0,0,0,0,0,0,0
Distance,0 : 12,0,0,0,0,0,0,0,0,0,0
Distance,0 : 21,0,0,0,0,0,0,0,0,0,0
Distance,1 : 11,0,0,0,0,0,0,0,0,0,0
Distance,0 : 26,0,0,0,0,0,0,0,0,0,0
Distance,0 : 20,0,0,0,0,0,0,0,0,0,0
Distance,0 : 23,0,0,0,0,0,0,0,0,0,0
Distance,0 : 37,0,0,0,0,0,0,0,0,0,0
Distance,0 : 14,0,0,0,0,0,0,0,0,0,0
Distance,0 : 22,0,0,0,0,0,0,0,0,0,0
Distance,1 : 8,0,0,0,0,0,0,0,0,0,0
SpiderHit,0 : 45,5,0,25,2,1,0,19,7,2,0
SpiderHit,0 : 42,2,0,3,3,0,0,10,2,0,0
Distance,1 : 34,25,0,19,11,3,0,16,11,1,0
Distance,1 : 49,23,0,13,7,1,0,11,16,2,0
SpiderShoot,1 : 2,9,0,10,1,0,0,8,0,0,1
Distance,0 : 43,0,0,0,0,0,0,0,0,0,0
Distance,0 : 20,0,0,0,0,0,0,0,0,0,0
Distance,0 : 37,0,0,0,0,0,0,0,0,0,0
Distance,0 : 16,0,0,0,0,0,0,0,0,0,0
Distance,0 : 43,0,0,0,0,0,0,0,0,0,0
Distance,0 : 22,0,0,0,0,0,0,0,0,0,0
Distance,0 : 30,0,0,0,0,0,0,0,0,0,0
Distance,0 : 14,0,0,0,0,0,0,0,0,0,0
Distance,0 : 17,0,0,0,0,0,0,0,0,0,0
Distance,0 : 24,0,0,0,0,0,0,0,0,0,0
Distance,0 : 22,0,0,0,0,0,0,0,0,0,0
Distance,1 : 22,0,0,0,0,0,0,0,0,0,0
Distance,3 : 35,2,0,1,0,0,0,0,0,0,0
SpiderShoot,2 : 28,14,0,11,4,1,1,28,4,1,0
Distance,0 : 34,5,0,7,1,0,0,2,0,0,0
SpiderShoot,1 : 50,15,0,3,3,0,0,18,2,2,0
Distance,1 : 24,8,0,9,4,1,0,7,6,1,0
Distance,0 : 41,0,0,0,0,0,0,0,0,0,0
Distance,0 : 57,0,0,0,0,0,0,0,0,0,0
Distance,0 : 20,0,0,0,0,0,0,0,0,0,0
Distance,0 : 19,0,0,0,0,0,0,0,0,0,0
Distance,1 : 25,0,0,0,0,0,0,0,0,0,0
Distance,0 : 10,0,0,0,0,0,0,0,0,1,0
Distance,2 : 28,55,0,11,14,3,0,20,11,2,0
Distance,2 : 28,66,0,27,23,3,0,20,13,2,1
Distance,0 : 31,0,0,0,0,0,0,0,0,0,0
Distance,3 : 44,24,0,9,5,0,1,8,4,1,0
Distance,4 : 39,53,0,5,14,0,0,15,11,3,4
Distance,1 : 52,28,0,3,8,1,0,10,9,0,0
Distance,2 : 38,43,0,15,10,2,0,16,4,2,0
Distance,0 : 3,0,0,0,0,0,0,0,0,0,0
Distance,0 : 20,0,0,0,0,0,0,0,0,0,0
Distance,0 : 3,0,0,0,0,0,0,0,0,0,0
Distance,0 : 17,0,0,0,2,0,0,0,1,1,0
Distance,0 : 32,0,0,0,1,0,0,0,0,1,0
Distance,0 : 3,0,0,0,0,0,0,0,0,0,0
Distance,3 : 37,14,0,5,14,0,0,16,16,0,0
Distance,1 : 45,12,0,8,4,2,0,10,3,1,0
SpiderShoot,0 : 30,2,0,1,0,0,0,2,1,0,0
SpiderShoot,0 : 59,10,0,6,1,1,0,0,4,0,0
SpiderShoot,1 : 36,10,0,5,3,0,0,1,4,0,0
SpiderHit,0 : 27,3,0,0,1,0,1,1,1,0,0
SpiderShoot,1 : 12,9,0,0,2,0,0,5,1,1,0
SpiderHit,0 : 51,2,0,0,1,1,0,1,2,0,0
SpiderShoot,0 : 37,3,0,3,1,1,0,1,0,0,0
SpiderShoot,0 : 29,3,0,0,0,0,0,1,0,0,0
Distance,1 : 10,13,0,1,2,1,0,2,2,1,0
SpiderShoot,0 : 40,0,0,3,0,0,0,2,0,0,1
SpiderHit,0 : 44,9,0,1,1,0,1,1,1,0,0
SpiderHit,0 : 25,0,0,1,1,0,0,2,1,0,0
SpiderShoot,1 : 45,8,0,5,2,1,0,4,1,0,0
SpiderHit,0 : 31,1,0,0,2,0,0,1,4,0,0
Distance,2 : 41,27,0,5,5,0,0,1,6,1,0
SpiderHit,0 : 16,0,0,0,0,0,0,1,2,0,0
Distance,2 : 0,12,0,1,2,0,0,3,4,0,2
Distance,0 : 57,0,0,3,1,0,0,12,2,2,0
SpiderHit,3 : 38,22,0,12,9,1,0,12,9,2,2
Distance,0 : 31,0,0,0,2,0,1,0,0,0,0
SpiderShoot,0 : 31,5,0,2,1,1,0,1,3,0,0
SpiderShoot,8 : 12,10,0,35,9,0,0,66,13,1,0
SpiderShoot,2 : 15,0,0,2,0,0,0,1,1,0,0
SpiderHit,0 : 45,0,0,4,1,0,0,2,4,0,0
SpiderShoot,2 : 33,5,0,24,2,1,0,7,4,1,0
SpiderShoot,1 : 14,0,0,9,2,0,0,20,5,0,0
SpiderShoot,0 : 45,0,0,5,0,0,0,5,0,0,0
Distance,2 : 1,11,0,5,2,1,0,3,3,0,0
SpiderHit,1 : 15,6,0,0,2,0,0,2,5,0,0
SpiderShoot,0 : 34,1,0,0,2,0,0,1,0,0,0
SpiderHit,1 : 5,6,0,2,3,1,0,4,2,1,0
SpiderHit,1 : 6,8,0,1,3,1,0,2,1,0,1
SpiderHit,0 : 11,2,0,0,1,0,0,2,2,0,0
SpiderShoot,0 : 51,4,0,2,0,0,0,1,0,1,0
Distance,3 : 45,16,0,4,3,1,0,4,2,0,1
Distance,1 : 18,0,0,0,2,0,0,3,1,0,0
SpiderShoot,1 : 25,4,0,3,1,0,0,3,1,0,0
SpiderShoot,0 : 10,0,0,1,0,0,0,1,0,0,0
